"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"EXOSC5","19",56915,"exosome component 5","Exosc5"
"EXOSC6","16",118460,"exosome component 6","Exosc6"
"EXOSC7","3",23016,"exosome component 7","Exosc7"
"EXOSC8","13",11340,"exosome component 8","Exosc8"
"EXOSC9","4",5393,"exosome component 9","Exosc9"
"EXPH5","11",23086,"exophilin 5","Exph5"
"EXT1","8",2131,"exostosin glycosyltransferase 1","Ext1"
"EXT2","11",2132,"exostosin glycosyltransferase 2","Ext2"
"EXTL1","1",2134,"exostosin-like glycosyltransferase 1","Extl1"
"EXTL2","1",2135,"exostosin-like glycosyltransferase 2","Extl2"
"EXTL2P1","2",100287682,"exostoses (multiple)-like 2 pseudogene 1",""
"EXTL3","8",2137,"exostosin-like glycosyltransferase 3","Extl3"
"EXTL3-AS1","8",101929402,"EXTL3 antisense RNA 1",""
"EYA1","8",2138,"EYA transcriptional coactivator and phosphatase 1","Eya1"
"EYA2","20",2139,"EYA transcriptional coactivator and phosphatase 2","Eya2"
"EYA3","1",2140,"EYA transcriptional coactivator and phosphatase 3","Eya3"
"EYA4","6",2070,"EYA transcriptional coactivator and phosphatase 4","Eya4"
"EYS","6",346007,"eyes shut homolog (Drosophila)",""
"EZH1","17",2145,"enhancer of zeste 1 polycomb repressive complex 2 subunit","Ezh1"
"EZH2","7",2146,"enhancer of zeste homolog 2 (Drosophila)","Ezh2"
"EZH2P1","21",266693,"enhancer of zeste homolog 2 (Drosophila) pseudogene 1",""
"EZR","6",7430,"ezrin","Ezr"
"EZR-AS1","6",101409257,"EZR antisense RNA 1",""
"F10","13",2159,"coagulation factor X","F10"
"F10-AS1","13",104413892,"F10 antisense RNA 1",""
"F11","4",2160,"coagulation factor XI","F11"
"F11-AS1","4",285441,"F11 antisense RNA 1",""
"F11R","1",50848,"F11 receptor","F11r"
"F12","5",2161,"coagulation factor XII (Hageman factor)","F12"
"F13A1","6",2162,"coagulation factor XIII, A1 polypeptide","F13a1"
"F13B","1",2165,"coagulation factor XIII, B polypeptide","F13b"
"F2","11",2147,"coagulation factor II (thrombin)","F2"
"F2R","5",2149,"coagulation factor II (thrombin) receptor","F2r"
"F2RL1","5",2150,"coagulation factor II (thrombin) receptor-like 1","F2rl1"
"F2RL2","5",2151,"coagulation factor II (thrombin) receptor-like 2","F2rl2"
"F2RL3","19",9002,"coagulation factor II (thrombin) receptor-like 3","F2rl3"
"F3","1",2152,"coagulation factor III (thromboplastin, tissue factor)","F3"
"F5","1",2153,"coagulation factor V (proaccelerin, labile factor)","F5"
"F7","13",2155,"coagulation factor VII (serum prothrombin conversion accelerator)","F7"
"F8","X",2157,"coagulation factor VIII, procoagulant component","F8"
"F8A1","X",8263,"coagulation factor VIII-associated 1","F8a"
"F8A2","X",474383,"coagulation factor VIII-associated 2","F8a"
"F8A3","X",474384,"coagulation factor VIII-associated 3","F8a"
"F9","X",2158,"coagulation factor IX","F9"
"FA2H","16",79152,"fatty acid 2-hydroxylase","Fa2h"
"FAAH","1",2166,"fatty acid amide hydrolase","Faah"
"FAAH2","X",158584,"fatty acid amide hydrolase 2",""
"FAAHP1","1",729041,"fatty acid amide hydrolase pseudogene 1",""
"FABP1","2",2168,"fatty acid binding protein 1, liver","Fabp1"
"FABP12","8",646486,"fatty acid binding protein 12","Fabp12"
"FABP2","4",2169,"fatty acid binding protein 2, intestinal","Fabp2"
"FABP3","1",2170,"fatty acid binding protein 3, muscle and heart","Fabp3"
"FABP3P2","13",56677,"fatty acid binding protein 3, pseudogene 2",""
"FABP4","8",2167,"fatty acid binding protein 4, adipocyte","Fabp4"
"FABP5","8",2171,"fatty acid binding protein 5 (psoriasis-associated)","Fabp5"
"FABP5P1","13",387934,"fatty acid binding protein 5 pseudogene 1",""
"FABP5P10","2",344332,"fatty acid binding protein 5 pseudogene 10",""
"FABP5P11","22",266699,"fatty acid binding protein 5 pseudogene 11",""
"FABP5P12","4",100270673,"fatty acid binding protein 5 pseudogene 12",""
"FABP5P14","2",100873957,"fatty acid binding protein 5 pseudogene 14",""
"FABP5P15","X",100873958,"fatty acid binding protein 5 pseudogene 15",""
"FABP5P2","13",729163,"fatty acid binding protein 5 pseudogene 2",""
"FABP5P3","7",220832,"fatty acid binding protein 5 pseudogene 3",""
"FABP5P4","13",404766,"fatty acid binding protein 5 pseudogene 4",""
"FABP5P5","5",100288964,"fatty acid binding protein 5 pseudogene 5",""
"FABP5P6","5",100130687,"fatty acid binding protein 5 pseudogene 6",""
"FABP5P7","11",728641,"fatty acid binding protein 5 pseudogene 7",""
"FABP5P8","15",728729,"fatty acid binding protein 5 pseudogene 8",""
"FABP5P9","15",642956,"fatty acid binding protein 5 pseudogene 9",""
"FABP6","5",2172,"fatty acid binding protein 6, ileal","Fabp6"
"FABP7","6",2173,"fatty acid binding protein 7, brain","Fabp7"
"FABP7P1","1",100506953,"fatty acid binding protein 7, brain pseudogene 1",""
"FABP7P2","2",100874317,"fatty acid binding protein 7, brain pseudogene 2",""
"FABP9","8",646480,"fatty acid binding protein 9, testis","Fabp9"
"FADD","11",8772,"Fas (TNFRSF6)-associated via death domain","Fadd"
"FADS1","11",3992,"fatty acid desaturase 1","Fads1"
"FADS2","11",9415,"fatty acid desaturase 2","Fads2"
"FADS2P1","11",643181,"fatty acid desaturase 2 pseudogene 1",""
"FADS3","11",3995,"fatty acid desaturase 3","Fads3"
"FADS6","17",283985,"fatty acid desaturase 6","Fads6"
"FAF1","1",11124,"Fas (TNFRSF6) associated factor 1","Faf1"
"FAF2","5",23197,"Fas associated factor family member 2","Faf2"
"FAF2P1","10",100128043,"Fas associated factor family member 2 pseudogene 1",""
"FAH","15",2184,"fumarylacetoacetate hydrolase (fumarylacetoacetase)","Fah"
"FAHD1","16",81889,"fumarylacetoacetate hydrolase domain containing 1","Fahd1"
"FAHD2A","2",51011,"fumarylacetoacetate hydrolase domain containing 2A",""
"FAHD2B","2",151313,"fumarylacetoacetate hydrolase domain containing 2B","Fahd2a"
"FAHD2CP","2",729234,"fumarylacetoacetate hydrolase domain containing 2C, pseudogene",""
"FAHD2P1","12",729610,"fumarylacetoacetate hydrolase domain containing 2 pseudogene 1",""
"FAIM","3",55179,"Fas apoptotic inhibitory molecule","Faim"
"FAIM2","12",23017,"Fas apoptotic inhibitory molecule 2","Faim2"
"FAIM3","1",9214,"Fas apoptotic inhibitory molecule 3","Faim3"
"FALEC","1",100874054,"focally amplified long non-coding RNA in epithelial cancer",""
"FAM101A","12",144347,"family with sequence similarity 101, member A","Fam101a"
"FAM101B","17",359845,"family with sequence similarity 101, member B","Fam101b"
"FAM102A","9",399665,"family with sequence similarity 102, member A","Fam102a"
"FAM102B","1",284611,"family with sequence similarity 102, member B","Fam102b"
"FAM103A1","15",83640,"family with sequence similarity 103, member A1","Fam103a1"
"FAM103A2P","6",353267,"family with sequence similarity 103, member A2 pseudogene",""
"FAM104A","17",84923,"family with sequence similarity 104, member A","Fam104a"
"FAM104B","X",90736,"family with sequence similarity 104, member B",""
"FAM105A","5",54491,"family with sequence similarity 105, member A","Fam105a"
"FAM106A","17",80039,"family with sequence similarity 106, member A",""
"FAM106B","17",100996259,"family with sequence similarity 106, member B",""
"FAM106CP","17",100129396,"family with sequence similarity 106, member C, pseudogene",""
"FAM106DP","17",100874406,"family with sequence similarity 106, member D, pseudogene",""
"FAM107A","3",11170,"family with sequence similarity 107, member A","Fam107a"
"FAM107B","10",83641,"family with sequence similarity 107, member B","Fam107b"
"FAM109A","12",144717,"family with sequence similarity 109, member A","Fam109a"
"FAM109B","22",150368,"family with sequence similarity 109, member B","Fam109b"
"FAM110A","20",83541,"family with sequence similarity 110, member A","Fam110a"
"FAM110B","8",90362,"family with sequence similarity 110, member B","Fam110b"
"FAM110C","2",642273,"family with sequence similarity 110, member C","Fam110c"
"FAM110D","1",79927,"family with sequence similarity 110, member D","Grrp1"
"FAM111A","11",63901,"family with sequence similarity 111, member A","Fam111a"
"FAM111B","11",374393,"family with sequence similarity 111, member B",""
"FAM114A1","4",92689,"family with sequence similarity 114, member A1","Fam114a1"
"FAM114A2","5",10827,"family with sequence similarity 114, member A2","Fam114a2"
"FAM117A","17",81558,"family with sequence similarity 117, member A","Fam117a"
"FAM117B","2",150864,"family with sequence similarity 117, member B","Fam117b"
"FAM118A","22",55007,"family with sequence similarity 118, member A","Fam118a"
"FAM118B","11",79607,"family with sequence similarity 118, member B","Fam118b"
"FAM120A","9",23196,"family with sequence similarity 120A","Fam120a"
"FAM120AOS","9",158293,"family with sequence similarity 120A opposite strand",""
"FAM120B","6",84498,"family with sequence similarity 120B","Fam120b"
"FAM120C","X",54954,"family with sequence similarity 120C","Fam120c"
"FAM122A","9",116224,"family with sequence similarity 122A","Fam122a"
"FAM122B","X",159090,"family with sequence similarity 122B","Fam122b"
"FAM122C","X",159091,"family with sequence similarity 122C",""
"FAM124A","13",220108,"family with sequence similarity 124A","Fam124a"
"FAM124B","2",79843,"family with sequence similarity 124B","Fam124b"
"FAM126A","7",84668,"family with sequence similarity 126, member A","Fam126a"
"FAM126B","2",285172,"family with sequence similarity 126, member B","Fam126b"
"FAM127A","X",8933,"family with sequence similarity 127, member A","Cxx1c"
"FAM127B","X",26071,"family with sequence similarity 127, member B",""
"FAM127C","X",441518,"family with sequence similarity 127, member C","Cxx1a;Cxx1b"
"FAM129A","1",116496,"family with sequence similarity 129, member A","Fam129a"
"FAM129B","9",64855,"family with sequence similarity 129, member B","Fam129b"
"FAM129C","19",199786,"family with sequence similarity 129, member C","Fam129c"
"FAM131A","3",131408,"family with sequence similarity 131, member A","Fam131a"
"FAM131B","7",9715,"family with sequence similarity 131, member B","Fam131b"
"FAM131C","1",348487,"family with sequence similarity 131, member C","Fam131c"
"FAM132A","1",388581,"family with sequence similarity 132, member A","Fam132a"
"FAM132B","2",151176,"family with sequence similarity 132, member B","Fam132b"
"FAM133A","X",286499,"family with sequence similarity 133, member A",""
"FAM133B","7",257415,"family with sequence similarity 133, member B","Fam133b"
"FAM133CP","10",728640,"family with sequence similarity 133, member C, pseudogene",""
"FAM133DP","2",728066,"family with sequence similarity 133, member D, pseudogene",""
"FAM134A","2",79137,"family with sequence similarity 134, member A","Fam134a"
"FAM134B","5",54463,"family with sequence similarity 134, member B","Fam134b"
"FAM134C","17",162427,"family with sequence similarity 134, member C","Fam134c"
"FAM135A","6",57579,"family with sequence similarity 135, member A","Fam135a"
"FAM135B","8",51059,"family with sequence similarity 135, member B","Fam135b"
"FAM136A","2",84908,"family with sequence similarity 136, member A","Fam136a"
"FAM136BP","6",387071,"family with sequence similarity 136, member B, pseudogene",""
"FAM138A","1",645520,"family with sequence similarity 138, member A",""
"FAM138B","2",654412,"family with sequence similarity 138, member B",""
"FAM138C","9",654835,"family with sequence similarity 138, member C",""
"FAM138D","12",677784,"family with sequence similarity 138, member D",""
"FAM138E","15",100124412,"family with sequence similarity 138, member E",""
"FAM138F","19",641702,"family with sequence similarity 138, member F",""
"FAM13A","4",10144,"family with sequence similarity 13, member A",""
"FAM13A-AS1","4",285512,"FAM13A antisense RNA 1",""
"FAM13B","5",51306,"family with sequence similarity 13, member B","Fam13b"
"FAM13C","10",220965,"family with sequence similarity 13, member C","Fam13c"
"FAM149A","4",25854,"family with sequence similarity 149, member A","Fam149a"
"FAM149B1","10",317662,"family with sequence similarity 149, member B1","Fam149b"
"FAM149B1P1","15",388181,"family with sequence similarity 149, member B1 pseudogene 1",""
"FAM150A","8",389658,"family with sequence similarity 150, member A","Fam150a"
"FAM150B","2",285016,"family with sequence similarity 150, member B","Fam150b"
"FAM151A","1",338094,"family with sequence similarity 151, member A","Fam151a"
"FAM151B","5",167555,"family with sequence similarity 151, member B","Fam151b"
"FAM153A","5",285596,"family with sequence similarity 153, member A",""
"FAM153B","5",202134,"family with sequence similarity 153, member B",""
"FAM153C","5",653316,"family with sequence similarity 153, member C",""
"FAM155A","13",728215,"family with sequence similarity 155, member A","Fam155a"
"FAM155A-IT1","13",100874375,"FAM155A intronic transcript 1 (non-protein coding)",""
"FAM155B","X",27112,"family with sequence similarity 155, member B","Tmem28"
"FAM156A","X",29057,"family with sequence similarity 156, member A",""
"FAM156B","X",727866,"family with sequence similarity 156, member B",""
"FAM157A","3",728262,"family with sequence similarity 157, member A",""
"FAM157B","9",100132403,"family with sequence similarity 157, member B",""
"FAM157C","16",100996541,"family with sequence similarity 157, member C",""
"FAM159A","1",348378,"family with sequence similarity 159, member A","Fam159a"
"FAM159B","5",100132916,"family with sequence similarity 159, member B","Fam159b"
"FAM160A1","4",729830,"family with sequence similarity 160, member A1","Fam160a1"
"FAM160A2","11",84067,"family with sequence similarity 160, member A2","Fam160a2"
"FAM160B1","10",57700,"family with sequence similarity 160, member B1","Fam160b1"
"FAM160B2","8",64760,"family with sequence similarity 160, member B2","Fam160b2"
"FAM161A","2",84140,"family with sequence similarity 161, member A","Fam161a"
"FAM161B","14",145483,"family with sequence similarity 161, member B","Fam161b"
"FAM162A","3",26355,"family with sequence similarity 162, member A","Fam162a"
"FAM162B","6",221303,"family with sequence similarity 162, member B","Fam162b"
"FAM163A","1",148753,"family with sequence similarity 163, member A","Fam163a"
"FAM163B","9",642968,"family with sequence similarity 163, member B","Fam163b"
"FAM166A","9",401565,"family with sequence similarity 166, member A","Fam166a"
"FAM166B","9",730112,"family with sequence similarity 166, member B","Fam166b"
"FAM167A","8",83648,"family with sequence similarity 167, member A","Fam167a"
"FAM167A-AS1","8",83656,"FAM167A antisense RNA 1",""
"FAM167B","1",84734,"family with sequence similarity 167, member B","Fam167b"
"FAM168A","11",23201,"family with sequence similarity 168, member A","Fam168a"
"FAM168B","2",130074,"family with sequence similarity 168, member B","Fam168b"
"FAM169A","5",26049,"family with sequence similarity 169, member A","Fam169a"
"FAM169B","15",283777,"family with sequence similarity 169, member B",""
"FAM170A","5",340069,"family with sequence similarity 170, member A","Fam170a"
"FAM170B","10",170370,"family with sequence similarity 170, member B","Fam170b"
"FAM170B-AS1","10",100506733,"FAM170B antisense RNA 1",""
"FAM171A1","10",221061,"family with sequence similarity 171, member A1","Fam171a1"
"FAM171A2","17",284069,"family with sequence similarity 171, member A2","Fam171a2"
"FAM171B","2",165215,"family with sequence similarity 171, member B","Fam171b"
"FAM172A","5",83989,"family with sequence similarity 172, member A","Fam172a"
"FAM172BP","3",131909,"family with sequence similarity 172, member B, pseudogene",""
"FAM173A","16",65990,"family with sequence similarity 173, member A","Fam173a"
"FAM173B","5",134145,"family with sequence similarity 173, member B","Fam173b"
"FAM174A","5",345757,"family with sequence similarity 174, member A","Fam174a"
"FAM174B","15",400451,"family with sequence similarity 174, member B","Fam174b"
"FAM175A","4",84142,"family with sequence similarity 175, member A","Fam175a"
"FAM175B","10",23172,"family with sequence similarity 175, member B","Fam175b"
"FAM177A1","14",283635,"family with sequence similarity 177, member A1",""
"FAM177A1P1","4",728710,"family with sequence similarity 177, member A1 pseudogene 1",""
"FAM177B","1",400823,"family with sequence similarity 177, member B",""
"FAM178A","10",55719,"family with sequence similarity 178, member A","Fam178a"
"FAM178B","2",51252,"family with sequence similarity 178, member B","Fam178b"
"FAM179A","2",165186,"family with sequence similarity 179, member A","Fam179a"
"FAM179B","14",23116,"family with sequence similarity 179, member B","Fam179b"
"FAM180A","7",389558,"family with sequence similarity 180, member A","Fam180a"
"FAM180B","11",399888,"family with sequence similarity 180, member B",""
"FAM181A","14",90050,"family with sequence similarity 181, member A","Fam181a"
"FAM181A-AS1","14",283592,"FAM181A antisense RNA 1",""
"FAM181B","11",220382,"family with sequence similarity 181, member B","Fam181b"
"FAM182A","20",284800,"family with sequence similarity 182, member A",""
"FAM182B","20",728882,"family with sequence similarity 182, member B",""
"FAM183A","1",440585,"family with sequence similarity 183, member A",""
"FAM183B","7",340286,"family with sequence similarity 183, member B",""
"FAM183CP","8",286135,"family with sequence similarity 183, member C, pseudogene",""
"FAM183DP","2",101060105,"101060105",""
"FAM184A","6",79632,"family with sequence similarity 184, member A","Fam184a"
"FAM184B","4",27146,"family with sequence similarity 184, member B",""
"FAM185A","7",222234,"family with sequence similarity 185, member A","Fam185a"
"FAM185BP","7",641808,"family with sequence similarity 185, member B pseudogene",""
"FAM186A","12",121006,"family with sequence similarity 186, member A",""
"FAM186B","12",84070,"family with sequence similarity 186, member B","Fam186b"
"FAM187B","19",148109,"family with sequence similarity 187, member B",""
"FAM187B2P","19",100421621,"family with sequence similarity 187, member B2, pseudogene",""
"FAM188A","10",80013,"family with sequence similarity 188, member A","Fam188a"
"FAM188B","7",84182,"family with sequence similarity 188, member B","Fam188b"
"FAM189A1","15",23359,"family with sequence similarity 189, member A1","Fam189a1"
"FAM189A2","9",9413,"family with sequence similarity 189, member A2","Fam189a2"
"FAM189B","1",10712,"family with sequence similarity 189, member B","Fam189b"
"FAM192A","16",80011,"family with sequence similarity 192, member A","Fam192a"
"FAM192BP","4",152667,"family with sequence similarity 192, member B, pseudogene",""
"FAM193A","4",8603,"family with sequence similarity 193, member A","Fam193a"
"FAM193B","5",54540,"family with sequence similarity 193, member B",""
"FAM195A","16",84331,"family with sequence similarity 195, member A","Fam195a"
"FAM195B","17",348262,"family with sequence similarity 195, member B","Fam195b"
"FAM196A","10",642938,"family with sequence similarity 196, member A","Fam196a"
"FAM196B","5",100131897,"family with sequence similarity 196, member B","Fam196b"
"FAM197Y2","Y",252946,"family with sequence similarity 197, Y-linked, member 2, pseudogene",""
"FAM197Y4","Y",100289188,"family with sequence similarity 197, Y-linked, member 4, pseudogene",""
"FAM197Y5","Y",100289150,"family with sequence similarity 197, Y-linked, member 5, pseudogene",""
"FAM198A","3",729085,"family with sequence similarity 198, member A","Fam198a"
"FAM198B","4",51313,"family with sequence similarity 198, member B","Fam198b"
"FAM199X","X",139231,"family with sequence similarity 199, X-linked","Fam199x"
"FAM199YP","Y",360029,"family with sequence similarity 199, Y-linked, pseudogene",""
"FAM19A1","3",407738,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1","Fam19a1"
